mouseGene	humanGene
Il21	IL21
Bbs12	BBS12
Fgf2	FGF2
Nudt6	NUDT6
Spata5	SPATA5
Spry1	SPRY1
Fat4	FAT4
Intu	INTU
Hspa4l	HSPA4L
Plk4	PLK4
Mfsd8	MFSD8
Abhd18	ABHD18
Pgrmc2	PGRMC2
Jade1	JADE1
Sclt1	SCLT1
D3Ertd751e	C4orf33
Pcdh18	PCDH18
Slc7a11	SLC7A11
Noct	NOCT
Elf2	ELF2
Mgarp	MGARP
Ndufc1	NDUFC1
Naa15	NAA15
Rab33b	RAB33B
Setd7	SETD7
Mgst2	MGST2
Maml3	MAML3
Foxo1	FOXO1
Cog6	COG6
Lhfp	LHFPL6
Nhlrc3	NHLRC3
Proser1	PROSER1
Ufm1	UFM1
Postn	POSTN
Exosc8	EXOSC8
Alg5	ALG5
Rfxap	RFXAP
Dclk1	DCLK1
Nbea	NBEA
Tm4sf1	TM4SF1
Wwtr1	WWTR1
Commd2	COMMD2
Rnf13	RNF13
Pfn2	PFN2
Tsc22d2	TSC22D2
Serp1	SERP1
Eif2a	EIF2A
Selenot	SELENOT
Siah2	SIAH2
Med12l	MED12L
Gpr171	GPR171
P2ry14	P2RY14
Gpr87	GPR87
P2ry13	P2RY13
P2ry12	P2RY12
Igsf10	IGSF10
Mbnl1	MBNL1
P2ry1	P2RY1
Rap2b	RAP2B
Arhgef26	ARHGEF26
Dhx36	DHX36
Mme	MME
E130311K13Rik	C3orf33
Slc33a1	SLC33A1
Gmps	GMPS
Kcnab1	KCNAB1
Ssr3	SSR3
Tiparp	TIPARP
Lekr1	LEKR1
Ccnl1	CCNL1
Ptx3	PTX3
Shox2	SHOX2
Rsrc1	RSRC1
Mlf1	MLF1
Gfm1	GFM1
Lxn	LXN
Rarres1	RARRES1
Mfsd1	MFSD1
Schip1	SCHIP1
Il12a	IL12A
1110032F04Rik	C3orf80
Ift80	IFT80
Smc4	SMC4
Trim59	TRIM59
Kpna4	KPNA4
Ppm1l	PPM1L
B3galnt1	B3GALNT1
Nmd3	NMD3
Pdcd10	PDCD10
Serpini1	SERPINI1
Golim4	GOLIM4
Rapgef2	RAPGEF2
Fnip2	FNIP2
Ppid	PPID
Etfdh	ETFDH
4930579G24Rik	C4orf46
Tmem144	TMEM144
Pdgfc	PDGFC
Ctso	CTSO
Gucy1b1	GUCY1B1
Gucy1a1	GUCY1A1
Map9	MAP9
Rbm46	RBM46
Lrat	LRAT
Fgg	FGG
Plrg1	PLRG1
Sfrp2	SFRP2
Tlr2	TLR2
Tmem131l	TMEM131L
Mnd1	MND1
Trim2	TRIM2
Fhdc1	FHDC1
Arfip1	ARFIP1
Tmem154	TMEM154
Fbxw7	FBXW7
Gatb	GATB
Fam160a1	FHIP1A
Sh3d19	SH3D19
Lrba	LRBA
Dclk2	DCLK2
Cd1d1	CD1D
Kirrel	KIRREL1
Fcrl1	FCRL1
Fcrl5	FCRL5
Etv3	ETV3
Arhgef11	ARHGEF11
Pear1	PEAR1
Sh2d2a	SH2D2A
Prcc	PRCC
Hdgf	HDGF
Mrpl24	MRPL24
Rrnad1	RRNAD1
Isg20l2	ISG20L2
Crabp2	CRABP2
Gpatch4	GPATCH4
Naxe	NAXE
Iqgap3	IQGAP3
Mef2d	MEF2D
Rhbg	RHBG
Tsacc	TSACC
Cct3	CCT3
Glmp	GLMP
Tmem79	TMEM79
Smg5	SMG5
Bglap3	BGLAP
Bglap2	BGLAP
Slc25a44	SLC25A44
Sema4a	SEMA4A
Lmna	LMNA
Mex3a	MEX3A
Rab25	RAB25
Lamtor2	LAMTOR2
Ubqln4	UBQLN4
Ssr2	SSR2
Arhgef2	ARHGEF2
Rit1	RIT1
Syt11	SYT11
Gon4l	GON4L
Msto1	MSTO1
Dap3	DAP3
Ash1l	ASH1L
Rusc1	RUSC1
Fdps	FDPS
Hcn3	HCN3
Clk2	CLK2
Scamp3	SCAMP3
Fam189b	FAM189B
Gba	GBA
Mtx1	MTX1
Thbs3	THBS3
Trim46	TRIM46
Krtcap2	KRTCAP2
Dpm3	DPM3
Slc50a1	SLC50A1
Efna1	EFNA1
Efna3	EFNA3
Efna4	EFNA4
Adam15	ADAM15
Zbtb7b	ZBTB7B
Flad1	FLAD1
Cks1b	CKS1B
Shc1	SHC1
Pygo2	PYGO2
Pbxip1	PBXIP1
Pmvk	PMVK
Kcnn3	KCNN3
Adar	ADAR
Chrnb2	CHRNB2
Ube2q1	UBE2Q1
She	SHE
Il6ra	IL6R
Atp8b2	ATP8B2
Hax1	HAX1
4933434E20Rik	C1orf43
Tpm3	TPM3
Nup210l	NUP210L
Rab13	RAB13
Jtb	JTB
Creb3l4	CREB3L4
Slc39a1	SLC39A1
Crtc2	CRTC2
Dennd4b	DENND4B
Gatad2b	GATAD2B
Slc27a3	SLC27A3
Ints3	INTS3
Npr1	NPR1
Ilf2	ILF2
Snapin	SNAPIN
S100a1	S100A1
S100a13	S100A13
S100a14	S100A14
S100a16	S100A16
S100a3	S100A3
S100a4	S100A4
S100a5	S100A5
S100a6	S100A6
S100a8	S100A8
S100a9	S100A9
Pglyrp4	PGLYRP4
Prr9	PRR9
Sprr1a	SPRR1A
S100a10	S100A10
Them4	THEM4
Rorc	RORC
Lingo4	LINGO4
Tdrkh	TDRKH
Oaz3	OAZ3
Mrpl9	MRPL9
Riiad1	RIIAD1
Snx27	SNX27
Tuft1	TUFT1
Cgn	CGN
Pogz	POGZ
Psmb4	PSMB4
Selenbp1	SELENBP1
Pi4kb	PI4KB
Zfp687	ZNF687
Psmd4	PSMD4
Pip5k1a	PIP5K1A
Vps72	VPS72
Tmod4	TMOD4
Scnm1	SCNM1
Lysmd1	LYSMD1
Tnfaip8l2	TNFAIP8L2
Sema6c	SEMA6C
Gabpb2	GABPB2
Mllt11	MLLT11
Cdc42se1	CDC42SE1
Gm128	C1orf56
Prune1	PRUNE1
Mindy1	MINDY1
Anxa9	ANXA9
Cers2	CERS2
Setdb1	SETDB1
Arnt	ARNT
Ctsk	CTSK
Ctss	CTSS
Golph3l	GOLPH3L
Ensa	ENSA
Mcl1	MCL1
Adamtsl4	ADAMTSL4
Ecm1	ECM1
Tars2	TARS2
Rprd2	RPRD2
Prpf3	PRPF3
Mrps21	MRPS21
Ciart	CIART
BC028528	C1orf54
Aph1a	APH1A
Plekho1	PLEKHO1
Vps45	VPS45
Otud7b	OTUD7B
Mtmr11	MTMR11
Sf3b4	SF3B4
Sv2a	SV2A
Bola1	BOLA1
Fcgr1	FCGR1A
Txnip	TXNIP
Polr3gl	POLR3GL
Ankrd34a	ANKRD34A
Lix1l	LIX1L
Rbm8a	RBM8A
Pex11b	PEX11B
Itga10	ITGA10
Ankrd35	ANKRD35
Pias3	PIAS3
Nudt17	NUDT17
Polr3c	POLR3C
Rnf115	RNF115
Cd160	CD160
Acp6	ACP6
Bcl9	BCL9
Chd1l	CHD1L
Fmo5	FMO5
Prkab2	PRKAB2
Pde4dip	PDE4DIP
Sec22b	SEC22B
Notch2	NOTCH2
Adam30	ADAM30
Hmgcs2	HMGCS2
Phgdh	PHGDH
Zfp697	ZNF697
Wars2	WARS2
Tbx15	TBX15
Wdr3	WDR3
Gdap2	GDAP2
Man1a2	MAN1A2
Vtcn1	VTCN1
Trim45	TRIM45
Ttf2	TTF2
Cd101	CD101
Ptgfrn	PTGFRN
Cd2	CD2
Igsf3	IGSF3
Atp1a1	ATP1A1
Mab21l3	MAB21L3
Slc22a15	SLC22A15
Vangl1	VANGL1
Ngf	NGF
Tspan2	TSPAN2
Sike1	SIKE1
Csde1	CSDE1
Nras	NRAS
Ampd1	AMPD1
Dennd2c	DENND2C
Bcas2	BCAS2
Trim33	TRIM33
Olfml3	OLFML3
Hipk1	HIPK1
Dclre1b	DCLRE1B
Ap4b1	AP4B1
Bcl2l15	BCL2L15
Ptpn22	PTPN22
Rsbn1	RSBN1
Phtf1	PHTF1
Magi3	MAGI3
Lrig2	LRIG2
Slc16a1	SLC16A1
Ppm1j	PPM1J
Rhoc	RHOC
Mov10	MOV10
Capza1	CAPZA1
St7l	ST7L
Cttnbp2nl	CTTNBP2NL
Ddx20	DDX20
Rap1a	RAP1A
Adora3	ADORA3
I830077J02Rik	C1orf162
Wdr77	WDR77
Ovgp1	OVGP1
Pifo	PIFO
Dennd2d	DENND2D
Cept1	CEPT1
Dram2	DRAM2
Lrif1	LRIF1
Cd53	CD53
Kcna3	KCNA3
Kcna2	KCNA2
Lamtor5	LAMTOR5
Rbm15	RBM15
Slc6a17	SLC6A17
Strip1	STRIP1
Ahcyl1	AHCYL1
Csf1	CSF1
Gstm5	GSTM3
Gstm7	GSTM2
Gstm2	GSTM1
Gstm1	GSTM5
Gstm4	GSTM4
Ampd2	AMPD2
Gnat2	GNAT2
Gnai3	GNAI3
Amigo1	AMIGO1
Cyb561d1	CYB561D1
Atxn7l2	ATXN7L2
Psma5	PSMA5
Sort1	SORT1
Psrc1	PSRC1
Celsr2	CELSR2
Sars	SARS1
Tmem167b	TMEM167B
Taf13	TAF13
Wdr47	WDR47
Clcc1	CLCC1
Gpsm2	GPSM2
Aknad1	AKNAD1
Stxbp3	STXBP3
Fndc7	FNDC7
Prpf38b	PRPF38B
Fam102b	FAM102B
Slc25a24	SLC25A24
Vav3	VAV3
Ntng1	NTNG1
Prmt6	PRMT6
Amy1	AMY2A
Rnpc3	RNPC3
Col11a1	COL11A1
S1pr1	S1PR1
Dph5	DPH5
Slc30a7	SLC30A7
Extl2	EXTL2
Vcam1	VCAM1
Cdc14a	CDC14A
Rtca	RTCA
Dbt	DBT
Trmt13	TRMT13
Sass6	SASS6
Mfsd14a	MFSD14A
Slc35a3	SLC35A3
Agl	AGL
Frrs1	FRRS1
Palmd	PALMD
Plppr4	PLPPR4
Snx7	SNX7
Ptbp2	PTBP2
Rwdd3	RWDD3
Alg14	ALG14
Cnn3	CNN3
Slc44a3	SLC44A3
F3	F3
Abcd3	ABCD3
Arhgap29	ARHGAP29
Gclm	GCLM
Dnttip2	DNTTIP2
Bcar3	BCAR3
Pde5a	PDE5A
Usp53	USP53
Synpo2	SYNPO2
Sec24d	SEC24D
Mettl14	METTL14
Prss12	PRSS12
Ndst3	NDST3
Ugt8a	UGT8
Camk2d	CAMK2D
Larp7	LARP7
Zgrf1	ZGRF1
Alpk1	ALPK1
Tifa	TIFA
Ap1ar	AP1AR
Fam241a	FAM241A
Pitx2	PITX2
Enpep	ENPEP
Elovl6	ELOVL6
Egf	EGF
Rrh	RRH
Pla2g12a	PLA2G12A
Casp6	CASP6
Mcub	MCUB
Sec24b	SEC24B
Ostc	OSTC
Lef1	LEF1
Hadh	HADH
Cyp2u1	CYP2U1
Sgms2	SGMS2
Papss1	PAPSS1
Dkk2	DKK2
Aimp1	AIMP1
Tbck	TBCK
Npnt	NPNT
Gstcd	GSTCD
Ints12	INTS12
Ppa2	PPA2
Tet2	TET2
Cxxc4	CXXC4
Cenpe	CENPE
Bdh2	BDH2
Slc9b2	SLC9B2
Slc9b1	SLC9B1
Cisd2	CISD2
Ube2d3	UBE2D3
Manba	MANBA
Nfkb1	NFKB1
Slc39a8	SLC39A8
Bank1	BANK1
Ppp3ca	PPP3CA
Emcn	EMCN
Ddit4l	DDIT4L
Dnajb14	DNAJB14
Lamtor3	LAMTOR3
Dapp1	DAPP1
Mttp	MTTP
Trmt10a	TRMT10A
Adh7	ADH7
Adh1	ADH1C
Adh5	ADH5
Metap1	METAP1
Eif4e	EIF4E
Tspan5	TSPAN5
Rap1gds1	RAP1GDS1
Unc5c	UNC5C
Bmpr1b	BMPR1B
Pdlim5	PDLIM5
Gbp5	GBP5
Gbp7	GBP7
Gbp3	GBP4
Gbp2b	GBP3
Gbp2	GBP2
Kyat3	KYAT3
Gtf2b	GTF2B
Pkn2	PKN2
Lmo4	LMO4
Hs2st1	HS2ST1
Selenof	SELENOF
Sh3glb1	SH3GLB1
Clca2	CLCA2
Odf2l	ODF2L
Col24a1	COL24A1
Znhit6	ZNHIT6
Ddah1	DDAH1
Bcl10	BCL10
2410004B18Rik	C1orf52
Syde2	SYDE2
Mcoln3	MCOLN3
Mcoln2	MCOLN2
Lpar3	LPAR3
Ssx2ip	SSX2IP
Ctbs	CTBS
Spata1	SPATA1
Gng5	GNG5
Rpf1	RPF1
Dnase2b	DNASE2B
Prkacb	PRKACB
Ttll7	TTLL7
Adgrl2	ADGRL2
Adgrl4	ADGRL4
Ifi44	IFI44
Ifi44l	IFI44L
Ptgfr	PTGFR
Gipc2	GIPC2
Dnajb4	DNAJB4
Fubp1	FUBP1
Nexn	NEXN
Miga1	MIGA1
Usp33	USP33
Zzz3	ZZZ3
Ak5	AK5
Pigk	PIGK
St6galnac5	ST6GALNAC5
St6galnac3	ST6GALNAC3
Rabggtb	RABGGTB
Acadm	ACADM
Tyw3	TYW3
Cryz	CRYZ
Fpgt	FPGT
Lrriq3	LRRIQ3
Ptger3	PTGER3
Cth	CTH
Ankrd13c	ANKRD13C
Srsf11	SRSF11
Lrrc40	LRRC40
Depdc1a	DEPDC1
Wls	WLS
Tmem68	TMEM68
Tgs1	TGS1
Lyn	LYN
Rps20	RPS20
Plag1	PLAG1
Chchd7	CHCHD7
Penk	PENK
Fam110b	FAM110B
Ubxn2b	UBXN2B
Sdcbp	SDCBP
Nsmaf	NSMAF
Tox	TOX
Car8	CA8
Rab2a	RAB2A
Chd7	CHD7
Asph	ASPH
2610301B20Rik	C8orf37
Plekhf2	PLEKHF2
Ndufaf6	NDUFAF6
Trp53inp1	TP53INP1
Ccne2	CCNE2
Ints8	INTS8
Dpy19l4	DPY19L4
Esrp1	ESRP1
Virma	VIRMA
Rad54b	RAD54B
Fsbp	FSBP
Gem	GEM
Cdh17	CDH17
Pdp1	PDP1
Tmem67	TMEM67
Rbm12b2	RBM12B
Rbm12b1	RBM12B
Triqk	TRIQK
Runx1t1	RUNX1T1
Otud6b	OTUD6B
Gm11837	C8orf88
Tmem64	TMEM64
Decr1	DECR1
Nbn	NBN
Osgin2	OSGIN2
Ripk2	RIPK2
Cpne3	CPNE3
Rmdn1	RMDN1
Wwp1	WWP1
Atp6v0d2	ATP6V0D2
Ggh	GGH
Ccnc	CCNC
Usp45	USP45
Pnisr	PNISR
Coq3	COQ3
Faxc	FAXC
Fbxl4	FBXL4
Mms22l	MMS22L
Klhl32	KLHL32
Ndufaf4	NDUFAF4
Ufl1	UFL1
Manea	MANEA
Bach2	BACH2
Casp8ap2	CASP8AP2
Mdn1	MDN1
Lyrm2	LYRM2
Ankrd6	ANKRD6
Rragd	RRAGD
Ube2j1	UBE2J1
Gabrr2	GABRR2
Gabrr1	GABRR1
Pm20d2	PM20D2
Pnrc1	PNRC1
Rngtt	RNGTT
Spaca1	SPACA1
Akirin2	AKIRIN2
Orc3	ORC3
Rars2	RARS2
Slc35a1	SLC35A1
Smim8	SMIM8
Zfp292	ZNF292
Mob3b	MOB3B
Aco1	ACO1
Ddx58	DDX58
Topors	TOPORS
Ndufb6	NDUFB6
Aptx	APTX
Dnaja1	DNAJA1
Smu1	SMU1
B4galt1	B4GALT1
Bag1	BAG1
Chmp5	CHMP5
Nfx1	NFX1
Aqp3	AQP3
Nol6	NOL6
Ube2r2	UBE2R2
Ubap2	UBAP2
Dcaf12	DCAF12
Ubap1	UBAP1
Kif24	KIF24
Nudt2	NUDT2
1110017D15Rik	C9orf24
Fam219a	FAM219A
Enho	ENHO
Cntfr	CNTFR
Il11ra1	IL11RA
Rpp25l	RPP25L
Dctn3	DCTN3
Sigmar1	SIGMAR1
Galt	GALT
Phf24	PHF24
Dnajb5	DNAJB5
Vcp	VCP
Fancg	FANCG
Pigo	PIGO
Stoml2	STOML2
Fam214b	FAM214B
Unc13b	UNC13B
Rusc2	RUSC2
Tesk1	TESK1
Cd72	CD72
Sit1	SIT1
Ccdc107	CCDC107
Arhgef39	ARHGEF39
Car9	CA9
Tln1	TLN1
Creb3	CREB3
Gba2	GBA2
Rgp1	RGP1
Msmp	MSMP
Npr2	NPR2
Hint2	HINT2
Fam221b	FAM221B
Tmem8b	TMEM8B
Reck	RECK
Glipr2	GLIPR2
Clta	CLTA
Gne	GNE
Rnf38	RNF38
Melk	MELK
Pax5	PAX5
Zcchc7	ZCCHC7
Grhpr	GRHPR
Zbtb5	ZBTB5
Polr1e	POLR1E
Fbxo10	FBXO10
Trmt10b	TRMT10B
Exosc3	EXOSC3
Dcaf10	DCAF10
Slc25a51	SLC25A51
Shb	SHB
Aldh1b1	ALDH1B1
Ccdc180	CCDC180
Tdrd7	TDRD7
Tmod1	TMOD1
Tstd2	TSTD2
Ncbp1	NCBP1
Xpa	XPA
Trmo	TRMO
Hemgn	HEMGN
Nans	NANS
Trim14	TRIM14
Coro2a	CORO2A
Tbc1d2	TBC1D2
Gabbr2	GABBR2
Anks6	ANKS6
Galnt12	GALNT12
Col15a1	COL15A1
Tgfbr1	TGFBR1
Alg2	ALG2
Sec61b	SEC61B
Nr4a3	NR4A3
Stx17	STX17
Erp44	ERP44
Invs	INVS
Tex10	TEX10
Msantd3	MSANTD3
Tmeff1	TMEFF1
Cavin4	CAVIN4
Mrpl50	MRPL50
Zfp189	ZNF189
Rnf20	RNF20
Smc2	SMC2
Nipsnap3b	NIPSNAP3A
Abca1	ABCA1
Slc44a1	SLC44A1
Fsd1l	FSD1L
Fktn	FKTN
Tal2	TAL2
Tmem38b	TMEM38B
Zfp462	ZNF462
Rad23b	RAD23B
Klf4	KLF4
Ctnnal1	CTNNAL1
Tmem245	TMEM245
Epb41l4b	EPB41L4B
Ptpn3	PTPN3
D630039A03Rik	C9orf152
Txn1	TXN
Svep1	SVEP1
Lpar1	LPAR1
Olfr267	OR2K2
Ptgr1	PTGR1
Dnajc25	DNAJC25
Gng10	GNG10
Ugcg	UGCG
Susd1	SUSD1
Ptbp3	PTBP3
Inip	INIP
Snx30	SNX30
Slc46a2	SLC46A2
Zfp37	ZFP37
Slc31a2	SLC31A2
Fkbp15	FKBP15
Slc31a1	SLC31A1
Cdc26	CDC26
Prpf4	PRPF4
Rnf183	RNF183
Wdr31	WDR31
Bspry	BSPRY
Hdhd3	HDHD3
Alad	ALAD
Pole3	POLE3
4933430I17Rik	C9orf43
Rgs3	RGS3
Zfp618	ZNF618
Ambp	AMBP
Col27a1	COL27A1
Akna	AKNA
Whrn	WHRN
Atp6v1g1	ATP6V1G1
Tmem268	TMEM268
Tnfsf15	TNFSF15
Tnfsf8	TNFSF8
Tnc	TNC
Pappa	PAPPA
Trim32	TRIM32
Tlr4	TLR4
Cdk5rap2	CDK5RAP2
Megf9	MEGF9
Tle1	TLE1
Rasef	RASEF
Kdm4c	KDM4C
Dmac1	DMAC1
Lurap1l	LURAP1L
Mpdz	MPDZ
Nfib	NFIB
Zdhhc21	ZDHHC21
Ttc39b	TTC39B
Snapc3	SNAPC3
Psip1	PSIP1
Ccdc171	CCDC171
Bnc2	BNC2
Cntln	CNTLN
Adamtsl1	ADAMTSL1
Rraga	RRAGA
Haus6	HAUS6
Plin2	PLIN2
Dennd4c	DENND4C
Rps6	RPS6
Acer2	ACER2
Mllt3	MLLT3
Focad	FOCAD
Hacd4	HACD4
Klhl9	KLHL9
Mtap	MTAP
Cdkn2a	CDKN2A
Cdkn2b	CDKN2B
Dmrta1	DMRTA1
Tusc1	TUSC1
Caap1	CAAP1
Plaa	PLAA
Ift74	IFT74
Tek	TEK
Eqtn	EQTN
Mysm1	MYSM1
Jun	JUN
Fggy	FGGY
Hook1	HOOK1
Cyp2j6	CYP2J2
Nfia	NFIA
Tm2d1	TM2D1
Patj	PATJ
Kank4	KANK4
Usp1	USP1
Dock7	DOCK7
Angptl3	ANGPTL3
Atg4c	ATG4C
Alg6	ALG6
Itgb3bp	ITGB3BP
Efcab7	EFCAB7
Pgm2	PGM2
Ror1	ROR1
Cachd1	CACHD1
Raver2	RAVER2
Jak1	JAK1
Ak4	AK4
Dnajc6	DNAJC6
Leprot	LEPROT
Lepr	LEPR
Pde4b	PDE4B
Sgip1	SGIP1
Insl5	INSL5
Mier1	MIER1
Slc35d1	SLC35D1
Oma1	OMA1
Fyb2	FYB2
Plpp3	PLPP3
Usp24	USP24
Pcsk9	PCSK9
Dhcr24	DHCR24
Pars2	PARS2
Ttc4	TTC4
Acot11	ACOT11
Ssbp3	SSBP3
Mrpl37	MRPL37
Cyb5rl	CYB5RL
Tceanc2	TCEANC2
Tmem59	TMEM59
Lrrc42	LRRC42
Hspb11	HSPB11
Yipf1	YIPF1
Ndc1	NDC1
Glis1	GLIS1
Lrp8	LRP8
Magoh	MAGOH
Cpt2	CPT2
Podn	PODN
Scp2	SCP2
Echdc2	ECHDC2
Zyg11b	ZYG11B
Coa7	COA7
Gpx7	GPX7
Prpf38a	PRPF38A
Orc1	ORC1
Cc2d1b	CC2D1B
Zfyve9	ZFYVE9
Btf3l4	BTF3L4
Txndc12	TXNDC12
Kti12	KTI12
Nrd1	NRDC
Osbpl9	OSBPL9
Eps15	EPS15
Ttc39a	TTC39A
Rnf11	RNF11
Cdkn2c	CDKN2C
Faf1	FAF1
Dmrta2	DMRTA2
Bend5	BEND5
Spata6	SPATA6
Trabd2b	TRABD2B
Foxd2	FOXD2
Cmpk1	CMPK1
Stil	STIL
Tal1	TAL1
Pdzk1ip1	PDZK1IP1
Cyp4x1	CYP4X1
Cyp4b1	CYP4B1
Efcab14	EFCAB14
Atpaf1	ATPAF1
Mob3c	MOB3C
Mknk1	MKNK1
Faah	FAAH
Nsun4	NSUN4
Uqcrh	UQCRHL
Lrrc41	LRRC41
Rad54l	RAD54L
Pomgnt1	POMGNT1
Lurap1	LURAP1
Tspan1	TSPAN1
Pik3r3	PIK3R3
Mast2	MAST2
Ipp	IPP
Tmem69	TMEM69
Gpbp1l1	GPBP1L1
Ccdc17	CCDC17
Nasp	NASP
Akr1a1	AKR1A1
Prdx1	PRDX1
Mmachc	MMACHC
Tesk2	TESK2
Toe1	TOE1
Mutyh	MUTYH
Hpdl	HPDL
Zswim5	ZSWIM5
Urod	UROD
Hectd3	HECTD3
Eif2b3	EIF2B3
Ptch2	PTCH2
Plk3	PLK3
Rps8	RPS8
Kif2c	KIF2C
Tmem53	TMEM53
Rnf220	RNF220
Eri3	ERI3
Dmap1	DMAP1
Slc6a9	SLC6A9
B4galt2	B4GALT2
Atp6v0b	ATP6V0B
Dph2	DPH2
Ipo13	IPO13
Artn	ARTN
St3gal3	ST3GAL3
Kdm4a	KDM4A
Ptprf	PTPRF
Szt2	SZT2
Med8	MED8
Elovl1	ELOVL1
Cdc20	CDC20
Tie1	TIE1
2610528J11Rik	C1orf210
Tmem125	TMEM125
Ebna1bp2	EBNA1BP2
Slc2a1	SLC2A1
Zfp691	ZNF691
Ermap	ERMAP
Svbp	SVBP
AU022252	C1orf50
P3h1	P3H1
Ybx1	YBX1
Ppih	PPIH
Ppcs	PPCS
Foxj3	FOXJ3
Guca2a	GUCA2A
Hivep3	HIVEP3
Scmh1	SCMH1
Ctps	CTPS1
Cited4	CITED4
Nfyc	NFYC
Rims3	RIMS3
Exo5	EXO5
Zfp69	ZFP69
Smap2	SMAP2
Col9a2	COL9A2
Zmpste24	ZMPSTE24
Rlf	RLF
Ppt1	PPT1
Cap1	CAP1
Mfsd2a	MFSD2A
Mycl	MYCL
Trit1	TRIT1
Ppie	PPIE
Heyl	HEYL
Pabpc4	PABPC4
Bmp8a	BMP8A
Akirin1	AKIRIN1
Rhbdl2	RHBDL2
Mycbp	MYCBP
Rragc	RRAGC
Utp11	UTP11
Fhl3	FHL3
Sf3a3	SF3A3
Inpp5b	INPP5B
Mtf1	MTF1
Yrdc	YRDC
Cdca8	CDCA8
9930104L06Rik	C1orf109
Rspo1	RSPO1
Gnl2	GNL2
Snip1	SNIP1
Meaf6	MEAF6
Zc3h12a	ZC3H12A
Csf3r	CSF3R
Mrps15	MRPS15
Oscp1	OSCP1
Lsm10	LSM10
Stk40	STK40
Eva1b	EVA1B
Sh3d21	SH3D21
Thrap3	THRAP3
Map7d1	MAP7D1
Trappc3	TRAPPC3
Col8a2	COL8A2
Tekt2	TEKT2
Ago3	AGO3
Ago1	AGO1
Ago4	AGO4
Clspn	CLSPN
5730409E04Rik	C1orf216
Psmb2	PSMB2
Ncdn	NCDN
AU040320	KIAA0319L
Zmym4	ZMYM4
Sfpq	SFPQ
Zmym1	ZMYM1
Zmym6	ZMYM6
Tmem35b	TMEM35B
Dlgap3	DLGAP3
Smim12	SMIM12
Gja4	GJA4
Gjb3	GJB3
Gjb4	GJB4
Gjb5	GJB5
Zscan20	ZSCAN20
Phc2	PHC2
A3galt2	A3GALT2
Zfp362	ZNF362
Trim62	TRIM62
Azin2	AZIN2
Ak2	AK2
Rnf19b	RNF19B
Tmem54	TMEM54
Fndc5	FNDC5
S100pbp	S100PBP
Yars	YARS
C77080	KIAA1522
Sync	SYNC
Rbbp4	RBBP4
Zbtb8os	ZBTB8OS
Zbtb8a	ZBTB8A
Bsdc1	BSDC1
Fam229a	FAM229A
Marcksl1	MARCKSL1
Hdac1	HDAC1
Lck	LCK
Fam167b	FAM167B
Eif3i	EIF3I
Tmem234	TMEM234
Iqcc	IQCC
Ccdc28b	CCDC28B
Txlna	TXLNA
Kpna6	KPNA6
Tmem39b	TMEM39B
Khdrbs1	KHDRBS1
Ptp4a2	PTP4A2
Adgrb2	ADGRB2
Col16a1	COL16A1
Pef1	PEF1
Hcrtr1	HCRTR1
Tinagl1	TINAGL1
Serinc2	SERINC2
Fabp3	FABP3
Zcchc17	ZCCHC17
Snrnp40	SNRNP40
Nkain1	NKAIN1
Pum1	PUM1
Sdc3	SDC3
Laptm5	LAPTM5
Ptpru	PTPRU
Mecr	MECR
Srsf4	SRSF4
Epb41	EPB41
Ythdf2	YTHDF2
Gmeb1	GMEB1
Taf12	TAF12
Rab42	RAB42
Trnau1ap	TRNAU1AP
Rcc1	RCC1
Phactr4	PHACTR4
Med18	MED18
Sesn2	SESN2
Atpif1	ATP5IF1
Dnajc8	DNAJC8
Ptafr	PTAFR
Eya3	EYA3
Xkr8	XKR8
Smpdl3b	SMPDL3B
Rpa2	RPA2
Themis2	THEMIS2
Ppp1r8	PPP1R8
Stx12	STX12
Fam76a	FAM76A
Fgr	FGR
Ahdc1	AHDC1
Wasf2	WASF2
Gpr3	GPR3
Cd164l2	CD164L2
Map3k6	MAP3K6
Sytl1	SYTL1
Tmem222	TMEM222
Wdtc1	WDTC1
Slc9a1	SLC9A1
Trnp1	TRNP1
Kdf1	KDF1
Nudc	NUDC
Gpatch3	GPATCH3
Gpn2	GPN2
Sfn	SFN
Zdhhc18	ZDHHC18
Pigv	PIGV
Arid1a	ARID1A
Rps6ka1	RPS6KA1
Dhdds	DHDDS
Lin28a	LIN28A
Crybg2	CRYBG2
Cd52	CD52
Ubxn11	UBXN11
Sh3bgrl3	SH3BGRL3
Cep85	CEP85
Cnksr1	CNKSR1
Zfp593	ZNF593
Pdik1l	PDIK1L
Slc30a2	SLC30A2
Pafah2	PAFAH2
Stmn1	STMN1
Paqr7	PAQR7
Aunip	AUNIP
Mtfr1l	MTFR1L
Selenon	SELENON
Man1c1	MAN1C1
Ldlrap1	LDLRAP1
Tmem50a	TMEM50A
Syf2	SYF2
Runx3	RUNX3
Clic4	CLIC4
Ncmap	NCMAP
Rcan3	RCAN3
Nipal3	NIPAL3
Ifnlr1	IFNLR1
Srsf10	SRSF10
Pnrc2	PNRC2
Cnr2	CNR2
Fuca1	FUCA1
Hmgcl	HMGCL
Gale	GALE
Lypla2	LYPLA2
Pithd1	PITHD1
Eloa	ELOA
Rpl11	RPL11
Id3	ID3
E2f2	E2F2
Asap3	ASAP3
Tcea3	TCEA3
Zfp46	ZNF436
Hnrnpr	HNRNPR
Htr1d	HTR1D
